spieltag,date,weekday,time,home_team,away_team,distance,season,datetime,ticket_count,gross_revenue,season_tickets_sold,season_tickets_revenue,total_season_tickets,total_season_revenue
3,2024-09-27,Friday,19.30,Grizzlys Wolfsburg,Iserlohn Roosters,304.0,24-25,2024-09-27 19:30:00,1439.0,26565.5,1144,428163.0,47118,1434539.12
6,2024-10-04,Friday,19.30,Grizzlys Wolfsburg,Schwenninger Wild Wings,638.0,24-25,2024-10-04 19:30:00,1466.0,28998.5,1144,428163.0,47118,1434539.12
9,2024-10-13,Sunday,16.30,Grizzlys Wolfsburg,Adler Mannheim,442.0,24-25,2024-10-13 16:30:00,1683.0,37615.0,1144,428163.0,47118,1434539.12
11,2024-10-20,Sunday,14.00,Grizzlys Wolfsburg,Eisbären Berlin,228.0,24-25,2024-10-20 14:00:00,2712.0,66873.5,1144,428163.0,47118,1434539.12
14,2024-10-31,Thursday,14.00,Grizzlys Wolfsburg,Adler Mannheim,442.0,24-25,2024-10-31 14:00:00,1926.0,42202.36,1144,428163.0,47118,1434539.12
17,2024-11-17,Sunday,14.00,Grizzlys Wolfsburg,Schwenninger Wild Wings,638.0,24-25,2024-11-17 14:00:00,2151.0,33153.0,1144,428163.0,47118,1434539.12
18,2024-11-21,Thursday,19.30,Grizzlys Wolfsburg,Augsburger Panther,588.0,24-25,2024-11-21 19:30:00,901.0,20183.5,1144,428163.0,47118,1434539.12
20,2024-11-27,Wednesday,18.00,Grizzlys Wolfsburg,Düsseldorfer EG,367.0,24-25,2024-11-27 18:00:00,1305.0,17397.5,1144,428163.0,47118,1434539.12
21,2024-11-29,Friday,19.30,Grizzlys Wolfsburg,Kölner Haie,376.0,24-25,2024-11-29 19:30:00,1618.0,37069.5,1144,428163.0,47118,1434539.12
23,2024-12-06,Friday,13.00,Grizzlys Wolfsburg,EHC Red Bull München,600.0,24-25,2024-12-06 13:00:00,1339.0,29647.5,1144,428163.0,47118,1434539.12
25,2024-12-13,Friday,19.30,Grizzlys Wolfsburg,Nürnberg Ice Tigers,463.0,24-25,2024-12-13 19:30:00,1252.0,26348.46,1144,428163.0,47118,1434539.12
